place_name,road_address_name,phone,x,y
차귀도약국,제주특별자치도 제주시 한경면 고산로 8,064-773-2022,126.17978962967445,33.30158613227159
신창약국,제주특별자치도 제주시 한경면 두신로 75,064-772-3799,126.18281289247714,33.34981603909689
사거리약국,전남 진도군 임회면 십일시길 39,061-542-3338,126.192250050298,34.4091710268443
우리들약국,전남 진도군 지산면 지산로 1182,061-542-6868,126.16603157832824,34.424622367667055
매정약국,전남 진도군 임회면 십일시길 47-1,061-543-3037,126.192966134783,34.4091270756001
구영약국,전남 신안군 암태면 중부로 1820-4,061-271-4287,126.11457416003451,34.82892633964474
신안약국,전남 신안군 자은면 구영2길 46,061-271-5440,126.045528923755,34.8844832860608
지도행복약국,전남 신안군 지도읍 봉리길 3,061-275-6300,126.21046608801,35.0595861285297
지도중앙약국,전남 신안군 지도읍 봉리길 16-1,061-275-0107,126.211324449102,35.0606075286653
대일약국,전남 신안군 지도읍 봉리길 9,061-275-1365,126.21076186009736,35.05994859145331
유한약국,전남 신안군 임자면 진리길 2,061-275-8288,126.11161496941286,35.08469684574386
만리포약국,충남 태안군 소원면 신덕길 10,041-672-4189,126.19473157110541,36.758734242126664
용머리약국,제주특별자치도 서귀포시 안덕면 사계남로216번길 31,070-7757-7128,126.30998561048449,33.233906174388665
프라자약국,제주특별자치도 서귀포시 대정읍 신영로 109,064-792-5557,126.25392257951,33.221735358459
시계탑약국,제주특별자치도 서귀포시 대정읍 신영로 115,064-794-1763,126.25423080683292,33.22232505879177
대정온누리약국,제주특별자치도 서귀포시 대정읍 하모중앙로 76,064-792-7545,126.2518564230004,33.22137132178633
대정송약국,제주특별자치도 서귀포시 대정읍 하모상가로 46,064-794-2802,126.2536963098,33.2216005625028
삼성약국,제주특별자치도 서귀포시 대정읍 상모로 321,064-794-8380,126.255170764079,33.2222946250198
한양약국,제주특별자치도 서귀포시 안덕면 화순로 110,064-792-7792,126.334621180388,33.2465909081654
민관협력약국 (2025년 예정),제주특별자치도 서귀포시 대정읍 일주서로 2512-16,,126.259822967864,33.2300834821205
흙한약국,제주특별자치도 서귀포시 대정읍 상모대서로20번길 17,064-792-2243,126.258500949084,33.2252898440133
모슬포약국,제주특별자치도 서귀포시 대정읍 신영로 75,064-792-8975,126.250905937545,33.2208760262825
메디팜현대약국,제주특별자치도 서귀포시 대정읍 하모상가로 27,064-794-0719,126.25170819395304,33.22164632422367
맑은약국,제주특별자치도 서귀포시 대정읍 하모상가로 38-2,,126.25297284423,33.2214023736053
부부온누리약국,제주특별자치도 제주시 신대로16길 41,064-742-5252,126.49208811394885,33.48674529336971
광주약국,제주특별자치도 제주시 국기로 7,064-712-7116,126.490032574343,33.4811235358561
새한온누리약국,제주특별자치도 제주시 신대로 128,064-742-1348,126.496176233941,33.4859234997039
천제연약국,제주특별자치도 서귀포시 천제연로 174,070-7756-4200,126.423227742919,33.2517326451112
으뜸약국,제주특별자치도 제주시 노형로 376,064-749-0003,126.476152254573,33.4834386358395
한라프라자약국,제주특별자치도 제주시 삼무로 46,064-743-2098,126.491544994879,33.4896479960936
프라임약국,제주특별자치도 서귀포시 대정읍 에듀시티로 102,064-794-9997,126.28072713823157,33.28647294500803
대동약국,제주특별자치도 제주시 애월읍 곽지5길 1,064-799-8808,126.3075485243323,33.44856569181041
연동약국,제주특별자치도 제주시 연북로 38,0502-5551-4252,126.4854295906355,33.481706774494384
중문약국,제주특별자치도 서귀포시 천제연로 179,064-739-9687,126.42383072634802,33.251910354833115
제주토마토약국,제주특별자치도 제주시 도령로 73,064-712-4003,126.48581960928318,33.489992221921334
달래약국,제주특별자치도 제주시 한림읍 한림중앙로 71,064-796-6595,126.266731905295,33.408723477038464
오름아래약국,제주특별자치도 제주시 삼무로 18,064-805-2093,126.48874225820487,33.48978071937056
애월약국,제주특별자치도 제주시 애월읍 애월로11길 6-2,064-799-0341,126.320611406046,33.4648556763241
마음약국,제주특별자치도 제주시 도령로 73,0507-1336-4057,126.48591673664268,33.49012606043676
하나약국,제주특별자치도 제주시 연북로 99,064-748-2800,126.4920389722167,33.482076644908226
아라약국,제주특별자치도 제주시 애월읍 애월로 120,064-799-4460,126.3201086299172,33.46435885155318
생생약국,제주특별자치도 제주시 원노형남1길 1,010-9638-6161,126.48068201511482,33.483972508745
새별약국,제주특별자치도 제주시 한림읍 동명북1길 11,064-796-7966,126.26432755484356,33.40867227833793
다온약국,제주특별자치도 서귀포시 중문로 7,064-738-4499,126.423183426133,33.2525979967879
현재약국,제주특별자치도 제주시 한림읍 한림로 650,064-796-9333,126.2627255002486,33.413797310508556
슬로우약국,제주특별자치도 제주시 노형1길 19,0507-1494-0601,126.475475134663,33.4806408363261
한마음약국,제주특별자치도 서귀포시 천제연로 210-1,064-739-0381,126.427036740716,33.2514761591684
열린365약국,제주특별자치도 제주시 노형로 380,064-744-0365,126.47653501345945,33.483842363046854
아주약국,제주특별자치도 제주시 노연로 80,064-744-2688,126.488442443937,33.4853211094378
정존약국,제주특별자치도 제주시 고사마루길 2,064-742-2378,126.47223338999244,33.480291682172755
국민약국,제주특별자치도 서귀포시 천제연로 209,064-738-8575,126.42698248393208,33.25173287149903
수약국,제주특별자치도 제주시 연북로 90,064-759-0587,126.49082868442802,33.48150277329309
한라약국,제주특별자치도 제주시 월랑로 33,064-712-7364,126.47609781804073,33.48854862678915
두리약국,제주특별자치도 제주시 수덕로 41,064-744-9952,126.472783208124,33.4861471561956
부원약국,제주특별자치도 제주시 우정로8길 2,064-900-4338,126.43065299706664,33.48933811595169
스카이약국,제주특별자치도 제주시 1100로 3323,064-742-6141,126.48039945482236,33.48300211279641
한림약국,제주특별자치도 제주시 한림읍 한림로 679,064-796-7309,126.26492903081571,33.415498158111
일품약국,제주특별자치도 제주시 제원1길 23,064-745-5589,126.48678250192302,33.48910544086638
매일약국,제주특별자치도 제주시 노연로 29,064-749-8876,126.48321243755292,33.48618206936958
나눔약국,제주특별자치도 제주시 애월읍 하광로 12,064-745-2245,126.411417596202,33.4841804243804
세창약국,제주특별자치도 제주시 한림읍 한림중앙로 1,064-796-2567,126.26486902919362,33.414580888230226
새봄약국,제주특별자치도 제주시 1100로 3333,064-712-0086,126.48012992942033,33.48363299864303
보건약국,제주특별자치도 제주시 연동3길 37,,126.48810683028384,33.48658646078247
제주약국,제주특별자치도 제주시 성신로 13-8,064-713-8575,126.48485654217629,33.490905140686856
은우약국,제주특별자치도 제주시 1100로 3283,064-748-7542,126.48179699639986,33.479405200121136
제주예스약국,제주특별자치도 제주시 억삼길 35-57,064-744-5551,126.4712257170362,33.49172677767684
동인한약국,제주특별자치도 제주시 신광로 105,064-711-8811,126.490036609637,33.48263822864
노란문약국,제주특별자치도 서귀포시 대정읍 에듀시티로239번길 12,064-792-1103,126.27513397658282,33.27935652557439
